0 0 -9e-32
0.1 0 -0.09
0.2 0 -0.16
0.3 0 -0.21
0.4 0 -0.24
0.5 0 -0.25
0.6 0 -0.24
0.7 0 -0.21
0.8 0 -0.16
0.9 0 -0.09
1 0 -9e-32
0 0.1 -0.09
0.1 0.1 -0.115935
0.2 0.1 -0.146869
0.3 0.1 -0.173014
0.4 0.1 -0.190003
0.5 0.1 -0.195859
0.6 0.1 -0.190003
0.7 0.1 -0.173014
0.8 0.1 -0.146869
0.9 0.1 -0.115935
1 0.1 -0.09
0 0.2 -0.16
0.1 0.2 -0.146869
0.2 0.2 -0.148527
0.3 0.2 -0.155185
0.4 0.2 -0.161139
0.5 0.2 -0.163428
0.6 0.2 -0.161139
0.7 0.2 -0.155185
0.8 0.2 -0.148527
0.9 0.2 -0.146869
1 0.2 -0.16
0 0.3 -0.21
0.1 0.3 -0.173014
0.2 0.3 -0.155185
0.3 0.3 -0.148062
0.4 0.3 -0.145938
0.5 0.3 -0.145578
0.6 0.3 -0.145938
0.7 0.3 -0.148062
0.8 0.3 -0.155185
0.9 0.3 -0.173014
1 0.3 -0.21
0 0.4 -0.24
0.1 0.4 -0.190003
0.2 0.4 -0.161139
0.3 0.4 -0.145938
0.4 0.4 -0.138973
0.5 0.4 -0.137008
0.6 0.4 -0.138973
0.7 0.4 -0.145938
0.8 0.4 -0.161139
0.9 0.4 -0.190003
1 0.4 -0.24
0 0.5 -0.25
0.1 0.5 -0.195859
0.2 0.5 -0.163428
0.3 0.5 -0.145578
0.4 0.5 -0.137008
0.5 0.5 -0.134508
0.6 0.5 -0.137008
0.7 0.5 -0.145578
0.8 0.5 -0.163428
0.9 0.5 -0.195859
1 0.5 -0.25
0 0.6 -0.24
0.1 0.6 -0.190003
0.2 0.6 -0.161139
0.3 0.6 -0.145938
0.4 0.6 -0.138973
0.5 0.6 -0.137008
0.6 0.6 -0.138973
0.7 0.6 -0.145938
0.8 0.6 -0.161139
0.9 0.6 -0.190003
1 0.6 -0.24
0 0.7 -0.21
0.1 0.7 -0.173014
0.2 0.7 -0.155185
0.3 0.7 -0.148062
0.4 0.7 -0.145938
0.5 0.7 -0.145578
0.6 0.7 -0.145938
0.7 0.7 -0.148062
0.8 0.7 -0.155185
0.9 0.7 -0.173014
1 0.7 -0.21
0 0.8 -0.16
0.1 0.8 -0.146869
0.2 0.8 -0.148527
0.3 0.8 -0.155185
0.4 0.8 -0.161139
0.5 0.8 -0.163428
0.6 0.8 -0.161139
0.7 0.8 -0.155185
0.8 0.8 -0.148527
0.9 0.8 -0.146869
1 0.8 -0.16
0 0.9 -0.09
0.1 0.9 -0.115935
0.2 0.9 -0.146869
0.3 0.9 -0.173014
0.4 0.9 -0.190003
0.5 0.9 -0.195859
0.6 0.9 -0.190003
0.7 0.9 -0.173014
0.8 0.9 -0.146869
0.9 0.9 -0.115935
1 0.9 -0.09
0 1 -9e-32
0.1 1 -0.09
0.2 1 -0.16
0.3 1 -0.21
0.4 1 -0.24
0.5 1 -0.25
0.6 1 -0.24
0.7 1 -0.21
0.8 1 -0.16
0.9 1 -0.09
1 1 -9e-32
